Date;Stock_Price;Shares;Equity;Debt;Asset
1997-08-13;378.887;11.52;4364.77824;5126;9490.77824
1997-08-14;379.666;11.52;4373.75232;5126;9499.75232
1997-08-15;369.931;11.52;4261.60512;5126;9387.60512
1997-08-18;366.037;11.52;4216.74624;5126;9342.74624
1997-08-19;374.798;11.52;4317.67296;5126;9443.67296
1997-08-20;379.666;11.52;4373.75232;5126;9499.75232
1997-08-21;380.639;11.52;4384.96128;5126;9510.96128
1997-08-22;371.293;11.52;4277.29536;5126;9403.29536
1997-08-25;368.762;11.52;4248.13824;5126;9374.13824
1997-08-26;358.054;11.52;4124.78208;5126;9250.78208
1997-08-27;357.859;11.52;4122.53568;5126;9248.53568
1997-08-28;345.204;11.52;3976.75008;5126;9102.75008
1997-08-29;343.257;11.52;3954.32064;5126;9080.32064
1997-09-01;346.761;11.52;3994.68672;5126;9120.68672
1997-09-02;356.107;11.52;4102.35264;5126;9228.35264
1997-09-03;354.355;11.52;4082.1696;5126;9208.1696
1997-09-04;353.186;11.52;4068.70272;5126;9194.70272
1997-09-05;357.275;11.52;4115.808;5126;9241.808
1997-09-08;356.302;11.52;4104.59904;5126;9230.59904
1997-09-09;356.107;11.52;4102.35264;5126;9228.35264
1997-09-10;355.912;11.52;4100.10624;5126;9226.10624
1997-09-11;350.461;11.52;4037.31072;5126;9163.31072
1997-09-12;351.434;11.52;4048.51968;5126;9174.51968
1997-09-15;352.408;11.52;4059.74016;5126;9185.74016
1997-09-16;360.001;11.52;4147.21152;5126;9273.21152
1997-09-17;369.931;11.52;4261.60512;5126;9387.60512
1997-09-18;372.462;11.52;4290.76224;5126;9416.76224
1997-09-19;371.293;11.52;4277.29536;5126;9403.29536
1997-09-22;372.851;11.52;4295.24352;5126;9421.24352
1997-09-23;373.435;11.52;4301.9712;5126;9427.9712
1997-09-24;381.613;11.52;4396.18176;5126;9522.18176
1997-09-25;376.745;11.52;4340.1024;5126;9466.1024
1997-09-26;374.798;11.52;4317.67296;5126;9443.67296
1997-09-29;375.772;11.52;4328.89344;5126;9454.89344
1997-09-30;378.692;11.52;4362.53184;5126;9488.53184
1997-10-01;377.719;11.52;4351.32288;5126;9477.32288
1997-10-02;382.586;11.52;4407.39072;5126;9533.39072
1997-10-03;387.454;11.52;4463.47008;5126;9589.47008
1997-10-06;384.533;11.52;4429.82016;5126;9555.82016
1997-10-07;383.17;11.52;4414.1184;5126;9540.1184
1997-10-08;381.613;11.52;4396.18176;5126;9522.18176
1997-10-09;370.709;11.52;4270.56768;5126;9396.56768
1997-10-10;370.515;11.52;4268.3328;5126;9394.3328
1997-10-13;379.666;11.52;4373.75232;5126;9499.75232
1997-10-14;381.613;11.52;4396.18176;5126;9522.18176
1997-10-15;375.187;11.52;4322.15424;5126;9448.15424
1997-10-16;379.276;11.52;4369.25952;5126;9495.25952
1997-10-17;376.745;11.52;4340.1024;5126;9466.1024
1997-10-20;380.639;11.52;4384.96128;5126;9510.96128
1997-10-21;382.391;11.52;4405.14432;5126;9531.14432
1997-10-22;383.949;11.52;4423.09248;5126;9549.09248
1997-10-23;372.656;11.52;4292.99712;5126;9418.99712
1997-10-24;378.497;11.52;4360.28544;5126;9486.28544
1997-10-27;366.037;11.52;4216.74624;5126;9342.74624
1997-10-28;371.878;11.52;4284.03456;5126;9410.03456
1997-10-29;367.01;11.52;4227.9552;5126;9353.9552
1997-10-30;358.249;11.52;4127.02848;5126;9253.02848
1997-10-31;365.452;11.52;4210.00704;5126;9336.00704
1997-11-03;366.037;11.52;4216.74624;5126;9342.74624
1997-11-04;370.515;11.52;4268.3328;5126;9394.3328
1997-11-05;374.409;11.52;4313.19168;5126;9439.19168
1997-11-06;371.099;11.52;4275.06048;5126;9401.06048
1997-11-07;369.931;11.52;4261.60512;5126;9387.60512
1997-11-10;372.267;11.52;4288.51584;5126;9414.51584
1997-11-11;370.904;11.52;4272.81408;5126;9398.81408
1997-11-12;359.806;11.52;4144.96512;5126;9270.96512
1997-11-13;354.549;11.52;4084.40448;5126;9210.40448
1997-11-14;350.461;11.52;4037.31072;5126;9163.31072
1997-11-17;352.408;11.52;4059.74016;5126;9185.74016
1997-11-18;349.876;11.52;4030.57152;5126;9156.57152
1997-11-19;345.593;11.52;3981.23136;5126;9107.23136
1997-11-20;348.124;11.52;4010.38848;5126;9136.38848
1997-11-21;354.355;11.52;4082.1696;5126;9208.1696
1997-11-24;350.461;11.52;4037.31072;5126;9163.31072
1997-11-25;350.461;11.52;4037.31072;5126;9163.31072
1997-11-26;351.239;11.52;4046.27328;5126;9172.27328
1997-11-27;356.886;11.52;4111.32672;5126;9237.32672
1997-11-28;362.337;11.52;4174.12224;5126;9300.12224
1997-12-01;376.356;11.52;4335.62112;5126;9461.62112
1997-12-02;375.966;11.52;4331.12832;5126;9457.12832
1997-12-03;382.391;11.52;4405.14432;5126;9531.14432
1997-12-04;387.064;11.52;4458.97728;5126;9584.97728
1997-12-05;388.427;11.52;4474.67904;5126;9600.67904
1997-12-08;389.401;11.52;4485.89952;5126;9611.89952
1997-12-09;387.064;11.52;4458.97728;5126;9584.97728
1997-12-10;374.019;11.52;4308.69888;5126;9434.69888
1997-12-11;367.205;11.52;4230.2016;5126;9356.2016
1997-12-12;364.09;11.52;4194.3168;5126;9320.3168
1997-12-15;356.886;11.52;4111.32672;5126;9237.32672
1997-12-16;365.258;11.52;4207.77216;5126;9333.77216
1997-12-17;360.974;11.52;4158.42048;5126;9284.42048
1997-12-18;365.063;11.52;4205.52576;5126;9331.52576
1997-12-19;369.346;11.52;4254.86592;5126;9380.86592
1997-12-22;382.002;11.52;4400.66304;5126;9526.66304
1997-12-23;384.338;11.52;4427.57376;5126;9553.57376
1997-12-24;385.507;11.52;4441.04064;5126;9567.04064
1997-12-29;387.843;11.52;4467.95136;5126;9593.95136
1997-12-30;389.206;11.52;4483.65312;5126;9609.65312
1997-12-31;389.401;11.02;4291.19902;5126;9417.19902
1998-01-05;409.844;11.02;4516.48088;5555;10071.48088
1998-01-06;412.181;11.02;4542.23462;5555;10097.23462
1998-01-07;411.791;11.02;4537.93682;5555;10092.93682
1998-01-08;397.189;11.02;4377.02278;5555;9932.02278
1998-01-09;393.879;11.02;4340.54658;5555;9895.54658
1998-01-12;383.949;11.02;4231.11798;5555;9786.11798
1998-01-13;392.321;11.02;4323.37742;5555;9878.37742
1998-01-14;387.064;11.02;4265.44528;5555;9820.44528
1998-01-15;378.887;11.02;4175.33474;5555;9730.33474
1998-01-16;365.063;11.02;4022.99426;5555;9577.99426
1998-01-19;366.037;11.02;4033.72774;5555;9588.72774
1998-01-20;368.957;11.02;4065.90614;5555;9620.90614
1998-01-21;372.267;11.02;4102.38234;5555;9657.38234
1998-01-22;375.577;11.02;4138.85854;5555;9693.85854
1998-01-23;383.56;11.02;4226.8312;5555;9781.8312
1998-01-26;373.046;11.02;4110.96692;5555;9665.96692
1998-01-27;367.984;11.02;4055.18368;5555;9610.18368
1998-01-28;367.594;11.02;4050.88588;5555;9605.88588
1998-01-29;366.621;11.02;4040.16342;5555;9595.16342
1998-01-30;369.931;11.02;4076.63962;5555;9631.63962
1998-02-02;373.24;11.02;4113.1048;5555;9668.1048
1998-02-03;370.125;11.02;4078.7775;5555;9633.7775
1998-02-04;368.178;11.02;4057.32156;5555;9612.32156
1998-02-05;366.037;11.02;4033.72774;5555;9588.72774
1998-02-06;354.549;11.02;3907.12998;5555;9462.12998
1998-02-09;359.027;11.02;3956.47754;5555;9511.47754
1998-02-10;366.426;11.02;4038.01452;5555;9593.01452
1998-02-11;370.709;11.02;4085.21318;5555;9640.21318
1998-02-12;372.851;11.02;4108.81802;5555;9663.81802
1998-02-13;373.532;11.02;4116.32264;5555;9671.32264
1998-02-16;371.878;11.02;4098.09556;5555;9653.09556
1998-02-17;372.851;11.02;4108.81802;5555;9663.81802
1998-02-18;369.931;11.02;4076.63962;5555;9631.63962
1998-02-19;363.311;11.02;4003.68722;5555;9558.68722
1998-02-20;362.921;11.02;3999.38942;5555;9554.38942
1998-02-23;369.931;11.02;4076.63962;5555;9631.63962
1998-02-24;369.931;11.02;4076.63962;5555;9631.63962
1998-02-25;377.329;11.02;4158.16558;5555;9713.16558
1998-02-26;383.162;11.02;4222.44524;5555;9777.44524
1998-02-27;386.718;11.02;4261.63236;5555;9816.63236
1998-03-02;387.454;11.02;4269.74308;5555;9824.74308
1998-03-03;385.117;11.02;4243.98934;5555;9798.98934
1998-03-04;386.48;11.02;4259.0096;5555;9814.0096
1998-03-05;386.285;11.02;4256.8607;5555;9811.8607
1998-03-06;380.25;11.02;4190.355;5555;9745.355
1998-03-09;387.064;11.02;4265.44528;5555;9820.44528
1998-03-10;399.136;11.02;4398.47872;5555;9953.47872
1998-03-11;402.056;11.02;4430.65712;5555;9985.65712
1998-03-12;403.03;11.02;4441.3906;5555;9996.3906
1998-03-13;403.03;11.02;4441.3906;5555;9996.3906
1998-03-16;402.056;11.02;4430.65712;5555;9985.65712
1998-03-17;408.286;11.02;4499.31172;5555;10054.31172
1998-03-18;407.508;11.02;4490.73816;5555;10045.73816
1998-03-19;409.455;11.02;4512.1941;5555;10067.1941
1998-03-20;410.818;11.02;4527.21436;5555;10082.21436
1998-03-23;408.871;11.02;4505.75842;5555;10060.75842
1998-03-24;413.738;11.02;4559.39276;5555;10114.39276
1998-03-25;416.464;11.02;4589.43328;5555;10144.43328
1998-03-26;408.871;11.02;4505.75842;5555;10060.75842
1998-03-27;413.543;11.02;4557.24386;5555;10112.24386
1998-03-30;410.233;11.02;4520.76766;5555;10075.76766
1998-03-31;414.517;11.02;4567.97734;5555;10122.97734
1998-04-01;408.871;11.02;4505.75842;5555;10060.75842
1998-04-02;406.924;11.02;4484.30248;5555;10039.30248
1998-04-03;404.587;11.02;4458.54874;5555;10013.54874
1998-04-06;409.649;11.02;4514.33198;5555;10069.33198
1998-04-07;403.419;11.02;4445.67738;5555;10000.67738
1998-04-08;399.136;11.02;4398.47872;5555;9953.47872
1998-04-09;398.162;11.02;4387.74524;5555;9942.74524
1998-04-14;393.879;11.02;4340.54658;5555;9895.54658
1998-04-15;403.03;11.02;4441.3906;5555;9996.3906
1998-04-16;389.401;11.02;4291.19902;5555;9846.19902
1998-04-17;396.215;11.02;4366.2893;5555;9921.2893
1998-04-20;404.977;11.02;4462.84654;5555;10017.84654
1998-04-21;399.136;11.02;4398.47872;5555;9953.47872
1998-04-22;398.746;11.02;4394.18092;5555;9949.18092
